TMCode,店舗名,Status,開店日,都道府県,郵便番号,都道府県,市区町村,それ以下,Category,販路,パートナー先
1571,ジョーシン 明和イオンモール店,OPEN,,三重県,515-0348,三重県,多気郡,明和町中村1223,,,
8270,エディオン 津北店,OPEN,,三重県,514-0002,三重県,津市,島崎町36番,,,
8167,楽天モバイル イオンモール津南店,OPEN,,三重県,514-0817,三重県,津市,高茶屋小森町145,,,
4871,エディオン イオンモール津南店,OPEN,,三重県,514-0817,三重県,津市,高茶屋小森町145番地,,,
1681,ジョーシン 津城山イオンタウン店,OPEN,,三重県,514-1112,三重県,津市,久居小野辺町1130-7,,,
8350,楽天モバイル イオンタウン鈴鹿玉垣店,OPEN,,三重県,513-0816,三重県,鈴鹿市,南玉垣町5520番106,,,
3501,エディオン イオンモール鈴鹿店,OPEN,,三重県,513-0834,三重県,鈴鹿市,庄野羽山4-1-2,,,
8347,楽天モバイル イオンモール山形南店,OPEN,,山形県,990-2453,山形県,山形市,若宮3-7-8,,,
7926,楽天モバイル フジグラン宇部店,OPEN,,山口県,755-0008,山口県,宇部市,明神町三丁目1番1号,,,
3511,エディオン ゆめタウン宇部店,OPEN,,山口県,759-0213,山口県,宇部市,黒石北3丁目3-45,,,
6901,楽天モバイル シーモール下関店,OPEN,,山口県,750-0025,山口県,下関市,竹崎町4-4-8,,,
5241,エディオン 新下関店,OPEN,,山口県,751-0873,山口県,下関市,秋根西町二丁目6番1号,,,
5471,エディオン 岩国店,OPEN,,山口県,740-0018,山口県,岩国市,麻里布町7-9-40,,,
2861,エディオン 山口本店,OPEN,,山口県,753-0831,山口県,山口市,平井90,,,
5511,エディオン 周南本店,OPEN,,山口県,746-0001,山口県,周南市,川崎3-17-8,,,
8154,楽天モバイル ラザウォーク甲斐双葉店,OPEN,,山梨県,400-0107,山梨県,甲斐市,志田字柿木645番地1,,,
7770,楽天モバイル イオンモール甲府昭和店,OPEN,,山梨県,409-3852,山梨県,中巨摩郡,昭和町飯喰1505-1,,,
3571,ジョーシン 近江今津店,OPEN,,滋賀県,520-1621,滋賀県,高島市,今津町今津1688,,,
7940,楽天モバイル ピエリ守山店,OPEN,,滋賀県,524-0101,滋賀県,守山市,今浜町2620-5,,,
6461,楽天モバイル イオンモール草津店,OPEN,,滋賀県,525-0067,滋賀県,草津市,新浜町300,,,
8309,ジョーシン 堅田アル・プラザ店,OPEN,,滋賀県,520-0242,滋賀県,大津市,本堅田5-20-10,,,
