TMCode,店舗名,Status,開店日,都道府県,郵便番号,都道府県,市区町村,それ以下,Category,販路,パートナー先
2511,ケーズデンキ HAT神戸店,OPEN,2017/7/21,兵庫県,651-0073,兵庫県,神戸市,中央区脇浜海岸通２丁目2-3,CES,パーソルマーケティング,ケーズホールディングス
2521,ケーズデンキ 奥州水沢店,OPEN,2017/7/21,岩手県,023-0003,岩手県,奥州市,水沢区佐倉河川原田65,CES,ヒト・コミュニケーションズ,ケーズホールディングス
2531,楽天モバイル くずはモール店,OPEN,2017/7/24,大阪府,573-1121,大阪府,枚方市,楠葉花園町15-1,PS,CNX,コネクシオ
2541,ジョーシン 相模原小山店,OPEN,2017/7/27,神奈川県,252-0205,神奈川県,相模原市,中央区小山3-37-1,CES,ウィルオブ・ワーク,上新電機株式会社
2551,楽天モバイル イオンモール岡山店,OPEN,2017/8/4,岡山県,700-0907,岡山県,岡山市,北区下石井1丁目2-1,PS,CNX,コネクシオ
2591,楽天モバイル 自由が丘店,OPEN,2017/8/1,東京都,152-0035,東京都,目黒区,自由が丘1-12-5,PS,プラザクリエイト,株式会社プラザクリエイト
2611,エディオン 豊川店,OPEN,2017/7/28,愛知県,442-0823,愛知県,豊川市,正岡町西深田345-1,CES,ヒト・コミュニケーションズ,株式会社エディオン
2621,エディオン JR尼崎店,OPEN,2017/7/28,兵庫県,660-0808,兵庫県,尼崎市,潮江1-1-50,CES,パーソルマーケティング,株式会社エディオン
2651,楽天モバイル 西武東戸塚店,OPEN,2017/9/1,神奈川県,244-0801,神奈川県,横浜市,戸塚区品濃町537-1,PS,CNX,コネクシオ
2661,ジョーシン 神戸南イオンモール店,OPEN,2017/9/20,兵庫県,652-0844,兵庫県,神戸市,兵庫区中之島2-1-1,CES,ウィルオブ・ワーク,上新電機株式会社
2681,楽天モバイル 新宿サブナード店,OPEN,2017/9/11,東京都,160-0021,東京都,新宿区,歌舞伎町1丁目2-2,PS,T-GAIA,T-GAIA
2701,楽天モバイル 千葉そごう店,OPEN,2017/9/15,千葉県,260-8557,千葉県,千葉市,中央区新町1000番地,PS,ITX,ITX株式会社
2731,楽天モバイル イオンモール常滑店,OPEN,2017/10/6,愛知県,479-0882,愛知県,常滑市,りんくう町2丁目20番3,PS,CNX,コネクシオ
2751,楽天モバイル 蒲田店,OPEN,2017/10/13,東京都,144-0052,東京都,大田区,蒲田5-17-8,PS,D-POPS,D-POPS
2771,楽天モバイル 大宮マルイ店,OPEN,2017/11/1,埼玉県,330-0854,埼玉県,さいたま市,大宮区桜木町2-3,PS,ITX,ITX株式会社
2781,楽天モバイル モラージュ菖蒲店,OPEN,2017/11/1,埼玉県,346-0106,埼玉県,久喜市,菖蒲町菖蒲6005-1,PS,CNX,コネクシオ
2791,楽天モバイル ニットーモール熊谷店,OPEN,2017/11/1,埼玉県,360-0032,埼玉県,熊谷市,銀座2丁目245番地,PS,D-POPS,D-POPS
2801,ケーズデンキ 旭川大雪通店,OPEN,2017/11/23,北海道,070-0010,北海道,旭川市,大雪通1丁目482-27,CES,ライクスタッフィング,ケーズホールディングス
2811,ケーズデンキ 鶴ヶ島インター店,OPEN,2017/12/21,埼玉県,350-2211,埼玉県,鶴ヶ島市,脚折町5丁目1番34号,CES,パーソルマーケティング,ケーズホールディングス
2821,楽天モバイル 所沢プロペ通り店,OPEN,2017/12/25,埼玉県,359-1123,埼玉県,所沢市,日吉町10-22,PS,D-POPS,D-POPS
2841,ケーズデンキ たつのこまち龍ヶ崎モール店,OPEN,2018/1/25,茨城県,301-0854,茨城県,龍ヶ崎市,中里2-1-2,CES,ヒト・コミュニケーションズ,ケーズホールディングス
2861,エディオン 山口本店,OPEN,2018/2/15,山口県,753-0831,山口県,山口市,平井90,CES,ウィルオブ・ワーク,株式会社エディオン
2871,100満ボルト 松江本店,OPEN,2018/2/9,島根県,690-0045,島根県,松江市,乃白町496番4,CES,パーソルマーケティング,株式会社エディオン
2891,ケーズデンキ 高知駅前店,OPEN,2018/2/13,高知県,780-0056,高知県,高知市,北本町2丁目7番22号,CES,リクルートスタッフィング,ケーズホールディングス
2901,ケーズデンキ 川越店,OPEN,2018/2/13,埼玉県,350-0031,埼玉県,川越市,小仙波974-1,CES,ヒト・コミュニケーションズ,ケーズホールディングス
2911,ケーズデンキ パークプレイス大分本店,OPEN,2018/3/1,大分県,870-0174,大分県,大分市,公園通り西2丁目2番,CES,パーソルマーケティング,ケーズホールディングス
2921,ケーズデンキ 府中本店,OPEN,2018/2/13,東京都,183-0044,東京都,府中市,日鋼町1-4,CES,パーソルマーケティング,ケーズホールディングス
2931,ケーズデンキ 稲城若葉台店,OPEN,2018/2/13,東京都,206-0824,東京都,稲城市,若葉台2-10-2,CES,パーソルマーケティング,ケーズホールディングス
2941,ケーズデンキ たまプラーザ店,OPEN,2018/2/13,神奈川県,225-0003,神奈川県,横浜市,青葉区新石川2-5-1,CES,ウィルオブ・ワーク,ケーズホールディングス
2951,ケーズデンキ ひたち野うしく店,OPEN,2018/2/19,茨城県,300-1206,茨城県,牛久市,ひたち野西4-1-2,CES,ヒト・コミュニケーションズ,ケーズホールディングス
2961,ケーズデンキ シーサイドひたちなか店,OPEN,2018/2/19,茨城県,312-0005,茨城県,ひたちなか市,新光町30-1,CES,ヒト・コミュニケーションズ,ケーズホールディングス
2971,ケーズデンキ 神栖店,OPEN,2018/2/19,茨城県,314-0146,茨城県,神栖市,平泉2-120,CES,ヒト・コミュニケーションズ,ケーズホールディングス
2991,エディオン 米子店,OPEN,2018/2/23,鳥取県,683-0804,鳥取県,米子市,米原5-6-31,CES,パーソルマーケティング,株式会社エディオン
3031,楽天モバイル 松山大街道店,OPEN,2018/3/20,愛媛県,790-0004,愛媛県,松山市,大街道1-6-4,PS,T-GAIA,T-GAIA
3041,ケーズデンキ 茂原本店,OPEN,2018/3/21,千葉県,297-0074,千葉県,茂原市,小林1606-10,CES,パーソルマーケティング,ケーズホールディングス
3051,ケーズデンキ 青梅店,OPEN,2018/3/21,東京都,198-0021,東京都,青梅市,今寺5-13-1,CES,パーソルマーケティング,ケーズホールディングス
3061,ケーズデンキ おゆみ野店,OPEN,2018/3/21,千葉県,266-0032,千葉県,千葉市,緑区おゆみ野中央9-19,CES,パーソルマーケティング,ケーズホールディングス
3071,ケーズデンキ 太田店,OPEN,2018/3/21,群馬県,373-0824,群馬県,太田市,高林寿町1809-1,CES,ライクスタッフィング,ケーズホールディングス
3081,ジョーシン 市川大野店,OPEN,2018/3/28,千葉県,272-0805,千葉県,市川市,大野町1-19-1,CES,ウィルオブ・ワーク,上新電機株式会社
3091,ジョーシン 富田林店,OPEN,2018/3/28,大阪府,584-0025,大阪府,富田林市,若松町西1-1816-1,CES,リクルートスタッフィング,上新電機株式会社
3101,ジョーシン 西宮今津店,OPEN,2018/3/28,兵庫県,663-8226,兵庫県,西宮市,今津港町1-26,CES,リクルートスタッフィング,上新電機株式会社
3111,エディオン ららぽーと新三郷店,OPEN,2018/3/20,埼玉県,341-0009,埼玉県,三郷市,新三郷ららシティ3丁目1-1,CES,ウィルオブ・ワーク,株式会社エディオン
3121,エディオン 神戸北町店,OPEN,2018/3/23,兵庫県,651-1233,兵庫県,神戸市,北区日の峰2-3-3,CES,パーソルマーケティング,株式会社エディオン
3131,エディオン クロスガーデン富士中央店,OPEN,2018/4/5,静岡県,417-0052,静岡県,富士市,中央町3-13-7,CES,ウィルオブ・ワーク,株式会社エディオン
3141,エディオン メッツ大曽根店,OPEN,2018/3/21,愛知県,461-0040,愛知県,名古屋市,東区矢田二丁目1番95号,CES,リクルートスタッフィング,株式会社エディオン
3151,エディオン 呉本店,OPEN,2018/3/23,広島県,737-0811,広島県,呉市,西中央4-1-48,CES,ヒト・コミュニケーションズ,株式会社エディオン
3181,楽天モバイル 天王寺あべのキューズモール店,OPEN,2018/4/27,大阪府,545-0052,大阪府,大阪市,阿倍野区阿倍野筋一丁目6番1号,PS,T-GAIA,T-GAIA
3191,エディオン 具志川メインシティ店,OPEN,2018/4/13,沖縄県,904-2244,沖縄県,うるま市,江洲450-1,CES,ヒト・コミュニケーションズ,株式会社エディオン
3201,楽天モバイル 博多駅地下街店,OPEN,2018/4/20,福岡県,812-0012,福岡県,福岡市,博多区博多駅中央街1-1,PS,T-GAIA,T-GAIA
3211,ジョーシン 宇治店,OPEN,2018/4/12,京都府,611-0021,京都府,宇治市,宇治樋ノ尻79-1,CES,ヒト・コミュニケーションズ,上新電機株式会社
3221,ジョーシン 燕三条店,OPEN,2018/4/12,新潟県,959-1232,新潟県,燕市,井土巻4-175,CES,ライクスタッフィング,上新電機株式会社
3241,ジョーシン 斑鳩店,OPEN,2018/4/12,奈良県,636-0154,奈良県,生駒郡,斑鳩町龍田西5-4-14,CES,ヒト・コミュニケーションズ,上新電機株式会社
3261,ジョーシン 高岡店,OPEN,2018/4/12,富山県,933-0904,富山県,高岡市,新成町1-12,CES,ヒト・コミュニケーションズ,上新電機株式会社
3271,ケーズデンキ 高槻店,OPEN,2018/4/13,大阪府,569-0065,大阪府,高槻市,城西町6番28号,CES,リクルートスタッフィング,ケーズホールディングス
3281,ケーズデンキ 弘前本店,OPEN,2018/4/20,青森県,036-8084,青森県,弘前市,高田4丁目2-7,CES,パーソルマーケティング,ケーズホールディングス
3291,ケーズデンキ 仙台南店,OPEN,2018/4/20,宮城県,981-1222,宮城県,名取市,上余田字千刈田466,CES,ヒト・コミュニケーションズ,ケーズホールディングス
3301,ケーズデンキ 盛岡南店,OPEN,2018/4/20,岩手県,020-0831,岩手県,盛岡市,三本柳五地割58,CES,ヒト・コミュニケーションズ,ケーズホールディングス
3311,ケーズデンキ 秋田中央店,OPEN,2018/4/27,秋田県,010-0976,秋田県,秋田市,八橋南1-3-25,CES,ヒト・コミュニケーションズ,ケーズホールディングス
