code,name
001941020,函館北浜郵便局
001941040,大中山郵便局
001941050,函館人見郵便局
001941060,江差茂尻郵便局
001941070,函館白鳥郵便局
001941080,久根別郵便局
001941090,函館日乃出郵便局
001941100,湯川温泉郵便局
001941110,函館富岡郵便局
001941120,函館港町郵便局
001941130,函館中道郵便局
001941140,函館日吉郵便局
001941150,函館湯浜郵便局
001941160,函館東富岡郵便局
001941170,函館上湯川郵便局
001941180,函館北郵便局
001941190,函館東山郵便局
001941200,函館日吉四郵便局
001941210,函館本通郵便局
001941220,函館西旭岡郵便局
001941260,函館昭和郵便局
001941270,函館花園郵便局
001941290,北斗浜分郵便局
001941300,函館神山郵便局
001941310,函館石川郵便局
001950010,久遠郵便局
001950020,瀬棚郵便局
001950030,奥尻郵便局
001950040,太櫓郵便局
001950050,島歌郵便局
001950060,今金郵便局
001950080,丹羽郵便局
001950100,青苗郵便局
001950110,若松郵便局
001950120,北桧山郵便局
001950130,花石郵便局
001950150,種川郵便局
001950160,宮野郵便局
001960010,八雲郵便局
001960020,長万部郵便局
001960030,国縫郵便局
001960040,野田生郵便局
001960050,黒岩郵便局
001960060,山越郵便局
001960070,静狩郵便局
001960110,八雲駅前郵便局
001960120,八雲宮園郵便局
001970010,月形郵便局
001970020,三笠幌内郵便局
001970030,滝川郵便局
001970040,岩見沢郵便局
001970050,歌志内郵便局
001970060,永山郵便局
001970070,美唄郵便局
001970080,旭川中央郵便局
001970090,深川郵便局
001970100,南幌郵便局
001970110,砂川郵便局
001970120,栗沢郵便局
001970130,岩見沢幌向郵便局
001970140,北村郵便局
001970150,江部乙郵便局
001970160,奈井江郵便局
001970170,沼田郵便局
001970180,鷹栖郵便局
001970190,愛別郵便局
001970200,美瑛郵便局
001970210,幾春別郵便局
001970220,雨竜郵便局
001970230,芦別郵便局
001970240,上富良野郵便局
001970250,峰延郵便局
001970260,比布郵便局
001970270,富良野郵便局
001970280,妹背牛郵便局
001970290,納内郵便局
001970300,秩父別郵便局
001970310,東旭川郵便局
