update,manufacturer,Model ID,Oracle model id,WAREHOUSE_MODEL,Oracle WAREHOUSE_MODEL,device,memory,carrier,good_price,fair_price,poor_price
,Apple（iPhone）,,99760000038367,iPhone 11 Pro Max 256GB - Softbank,IPHONE 11 PRO MAX 256GB - SOFTBANK,iPhone 11 Pro Max,256GB,Softbank," ¥28,570 "," ¥8,570 "," ¥2,860 "
,Apple（iPhone）,,99760000038285,iPhone 11 Pro Max 64GB - au,IPHONE 11 PRO MAX 64GB - AU,iPhone 11 Pro Max,64GB,au," ¥23,370 "," ¥7,010 "," ¥2,340 "
,Apple（iPhone）,,99760000038327,iPhone 11 Pro Max 64GB - docomo,IPHONE 11 PRO MAX 64GB - DOCOMO,iPhone 11 Pro Max,64GB,docomo," ¥23,370 "," ¥7,010 "," ¥2,340 "
,Apple（iPhone）,,99760000028050,iPhone 11 Pro Max 64GB - Generic,IPHONE 11 PRO MAX 64GB - GENERIC,iPhone 11 Pro Max,64GB,Generic," ¥23,370 "," ¥7,010 "," ¥2,340 "
,Apple（iPhone）,,99760000038369,iPhone 11 Pro Max 64GB - Softbank,IPHONE 11 PRO MAX 64GB - SOFTBANK,iPhone 11 Pro Max,64GB,Softbank," ¥23,370 "," ¥7,010 "," ¥2,340 "
,Apple（iPhone）,,99760000044238,iPhone 12 256GB - au,IPHONE 12 256GB - AU,iPhone 12,256GB,au," ¥35,640 "," ¥10,690 "," ¥3,560 "
,Apple（iPhone）,,99760000044358,iPhone 12 256GB - docomo,IPHONE 12 256GB - DOCOMO,iPhone 12,256GB,docomo," ¥35,300 "," ¥10,590 "," ¥3,530 "
,Apple（iPhone）,,99760000037583,iPhone 12 256GB - Generic,IPHONE 12 256GB - GENERIC,iPhone 12,256GB,Generic," ¥35,640 "," ¥10,690 "," ¥3,560 "
,Apple（iPhone）,,99760000037583,iPhone 12 256GB - Rakuten,IPHONE 12 256GB - RAKUTEN,iPhone 12,256GB,Rakuten," ¥35,640 "," ¥10,690 "," ¥3,560 "
,Apple（iPhone）,,99760000044298,iPhone 12 256GB - Softbank,IPHONE 12 256GB - SOFTBANK,iPhone 12,256GB,Softbank," ¥35,640 "," ¥10,690 "," ¥3,560 "
,Apple（iPhone）,,99760000044237,iPhone 12 128GB - au,IPHONE 12 128GB - AU,iPhone 12,128GB,au," ¥32,540 "," ¥9,760 "," ¥3,250 "
,Apple（iPhone）,,99760000044357,iPhone 12 128GB - docomo,IPHONE 12 128GB - DOCOMO,iPhone 12,128GB,docomo," ¥32,200 "," ¥9,660 "," ¥3,220 "
,Apple（iPhone）,,99760000037578,iPhone 12 128GB - Generic,IPHONE 12 128GB - GENERIC,iPhone 12,128GB,Generic," ¥32,540 "," ¥9,760 "," ¥3,250 "
,Apple（iPhone）,,99760000037578,iPhone 12 128GB - Rakuten,IPHONE 12 128GB - RAKUTEN,iPhone 12,128GB,Rakuten," ¥32,540 "," ¥9,760 "," ¥3,250 "
,Apple（iPhone）,,99760000044297,iPhone 12 128GB - Softbank,IPHONE 12 128GB - SOFTBANK,iPhone 12,128GB,Softbank," ¥32,540 "," ¥9,760 "," ¥3,250 "
,Apple（iPhone）,,99760000044239,iPhone 12 64GB - au,IPHONE 12 64GB - AU,iPhone 12,64GB,au," ¥26,940 "," ¥8,080 "," ¥2,690 "
,Apple（iPhone）,,99760000044359,iPhone 12 64GB - docomo,IPHONE 12 64GB - DOCOMO,iPhone 12,64GB,docomo," ¥27,000 "," ¥8,100 "," ¥2,700 "
,Apple（iPhone）,,99760000037573,iPhone 12 64GB - Generic,IPHONE 12 64GB - GENERIC,iPhone 12,64GB,Generic," ¥27,500 "," ¥8,250 "," ¥2,750 "
,Apple（iPhone）,,99760000037573,iPhone 12 64GB - Rakuten,IPHONE 12 64GB - RAKUTEN,iPhone 12,64GB,Rakuten," ¥27,000 "," ¥8,100 "," ¥2,700 "
,Apple（iPhone）,,99760000044299,iPhone 12 64GB - Softbank,IPHONE 12 64GB - SOFTBANK,iPhone 12,64GB,Softbank," ¥27,000 "," ¥8,100 "," ¥2,700 "
,Apple（iPhone）,,99760000044220,iPhone 12 mini 256GB - au,IPHONE 12 MINI 256GB - AU,iPhone 12 mini,256GB,au," ¥26,640 "," ¥7,990 "," ¥2,660 "
,Apple（iPhone）,,99760000044340,iPhone 12 mini 256GB - docomo,IPHONE 12 MINI 256GB - DOCOMO,iPhone 12 mini,256GB,docomo," ¥27,400 "," ¥8,220 "," ¥2,740 "
,Apple（iPhone）,,99760000037598,iPhone 12 mini 256GB - Generic,IPHONE 12 MINI 256GB - GENERIC,iPhone 12 mini,256GB,Generic," ¥27,740 "," ¥8,320 "," ¥2,770 "
,Apple（iPhone）,,9.976E+13,iPhone 12 mini 256GB - Rakuten,IPHONE 12 MINI 256GB - RAKUTEN,iPhone 12 mini,256GB,Rakuten," ¥27,740 "," ¥8,320 "," ¥2,770 "
,Apple（iPhone）,,99760000044280,iPhone 12 mini 256GB - Softbank,IPHONE 12 MINI 256GB - SOFTBANK,iPhone 12 mini,256GB,Softbank," ¥27,740 "," ¥8,320 "," ¥2,770 "
,Apple（iPhone）,,99760000044219,iPhone 12 mini 128GB - au,IPHONE 12 MINI 128GB - AU,iPhone 12 mini,128GB,au," ¥22,900 "," ¥6,870 "," ¥2,290 "
,Apple（iPhone）,,99760000044339,iPhone 12 mini 128GB - docomo,IPHONE 12 MINI 128GB - DOCOMO,iPhone 12 mini,128GB,docomo," ¥22,900 "," ¥6,870 "," ¥2,290 "
,Apple（iPhone）,,99760000037593,iPhone 12 mini 128GB - Generic,IPHONE 12 MINI 128GB - GENERIC,iPhone 12 mini,128GB,Generic," ¥22,900 "," ¥6,870 "," ¥2,290 "
,Apple（iPhone）,,99760000037593,iPhone 12 mini 128GB - Rakuten,IPHONE 12 MINI 128GB - RAKUTEN,iPhone 12 mini,128GB,Rakuten," ¥22,900 "," ¥6,870 "," ¥2,290 "
,Apple（iPhone）,,99760000044279,iPhone 12 mini 128GB - Softbank,IPHONE 12 MINI 128GB - SOFTBANK,iPhone 12 mini,128GB,Softbank," ¥22,900 "," ¥6,870 "," ¥2,290 "
