shopid,shopname,zip,prefectures,city,dec28,dec29,dec30,dec31,jan1,jan2,jan3,jan4,jan5
7521,楽天モバイル ニッケコルトンプラザ市川店,272-0015,千葉県,市川市,通常営業,通常営業,通常営業,10:00-19:00,10:00-21:00,10:00-21:00,10:00-21:00,通常営業,通常営業
7531,楽天モバイル ララガーデン春日部店,344-0064,埼玉県,春日部市,通常営業,通常営業,通常営業,10:00-19:00,通常営業,通常営業,通常営業,通常営業,通常営業
7541,楽天モバイル 草加マルイ店,340-0015,埼玉県,草加市,通常営業,通常営業,通常営業,10:30-18:30,休業,休業,休業,通常営業,通常営業
7551,楽天モバイル 有明ガーデン店,135-0063,東京都,江東区,通常営業,通常営業,通常営業,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,通常営業,通常営業
7561,ケーズデンキ BRANCH博多店,812-0044,福岡県,福岡市,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
7571,YAMADA 池袋2号館,170-0013,東京都,豊島区,通常営業,通常営業,通常営業,10:00-19:00,休業,通常営業,通常営業,通常営業,通常営業
7581,楽天モバイル 福岡天神西通り店,810-0001,福岡県,福岡市,通常営業,通常営業,通常営業,10:00-18:00,休業,通常営業,通常営業,通常営業,通常営業
7641,せいでん さんちか店,650-0021,兵庫県,神戸市,通常営業,通常営業,通常営業,10:00-17:00,休業,通常営業,通常営業,通常営業,通常営業
7651,LABI仙台,980-0021,宮城県,仙台市,通常営業,通常営業,通常営業,10:00-19:00,休業,08:00-19:00,10:00-20:00,10:00-20:00,通常営業
7661,ヤマダデンキ LABI新宿西口館,163-0023,東京都,新宿区,通常営業,通常営業,通常営業,10:00-19:00,休業,通常営業,通常営業,通常営業,通常営業
7671,Tecc LIFE SELECT 港北センター店,224-0003,神奈川県,横浜市,通常営業,通常営業,通常営業,10:00-19:00,休業,通常営業,通常営業,通常営業,通常営業
7681,家電住まいる館YAMADA幕張店,262-0032,千葉県,千葉市,通常営業,通常営業,通常営業,10:00-19:00,休業,通常営業,通常営業,通常営業,通常営業
7691,テックランド横浜泉店,245-0018,神奈川県,横浜市,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-20:00,通常営業,通常営業,通常営業
7701,楽天モバイル ららぽーと愛知東郷店,470-0186,愛知県,愛知郡,10:00-21:00,10:00-21:00,10:00-21:00,10:00-19:00,通常営業,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00
7711,ヨドバシカメラ マルチメディア名古屋松坂屋店,460-8430,愛知県,名古屋市,通常営業,通常営業,通常営業,10:00-20:00,休業,09:00-09:00,通常営業,通常営業,通常営業
7712,ヨドバシカメラ マルチメディア京急上大岡店,233-0002,神奈川県,横浜市,通常営業,通常営業,通常営業,10:00-20:00,休業,09:00-21:00,通常営業,通常営業,通常営業
7714,ヨドバシカメラ マルチメディアさいたま新都心駅前店,330-0843,埼玉県,さいたま市,通常営業,通常営業,通常営業,09:30-21:00,08:00-20:00,09:30-21:00,通常営業,通常営業,通常営業
7715,ヨドバシカメラ マルチメディア錦糸町店,130-8580,東京都,墨田区,通常営業,通常営業,通常営業,09:30-20:00,08:00-21:00,09:30-21:00,09:30-21:00,通常営業,通常営業
7718,コジマ×ビックカメラ 足立加平店,121-0055,東京都,足立区,通常営業,通常営業,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00
7719,楽天モバイル させぼ5番街店,857-0855,長崎県,佐世保市,通常営業,通常営業,通常営業,10:00-17:00,10:00-17:00,通常営業,通常営業,通常営業,通常営業
7721,エディオン イオン原店,816-0864,福岡県,福岡市,通常営業,通常営業,通常営業,10:00-18:00,通常営業,通常営業,通常営業,通常営業,通常営業
7722,エディオン イオンタウン岡崎美合店,444-0802,愛知県,岡崎市,通常営業,通常営業,通常営業,10:00-18:00,10:00-18:00,通常営業,通常営業,通常営業,通常営業
7723,楽天モバイル 光が丘IMA店,179-0072,東京都,練馬区,通常営業,通常営業,通常営業,10:00-19:00,休業,10:00-20:00,10:00-20:00,通常営業,通常営業
7724,ヨドバシカメラ マルチメディア郡山店,963-8002,福島県,郡山市,通常営業,通常営業,通常営業,09:30-20:00,08:00-20:00,09:30-21:00,09:30-21:00,通常営業,通常営業
7727,ヨドバシカメラ 八王子店,192-0082,東京都,八王子市,通常営業,通常営業,通常営業,09:30-20:00,08:00-20:00,09:30-21:00,09:30-21:00,通常営業,通常営業
7729,楽天モバイル ビバモール寝屋川店,572-0855,大阪府,寝屋川市,通常営業,通常営業,通常営業,10:00-18:00,休業,10:00-18:00,10:00-18:00,通常営業,通常営業
7730,エディオン イズミヤ長岡店,617-0826,京都府,長岡京市,通常営業,通常営業,通常営業,通常営業,10:00-18:00,通常営業,通常営業,通常営業,通常営業
7733,ジョーシン 岸和田店,596-0826,大阪府,岸和田市,通常営業,通常営業,通常営業,10:00-18:30,休業,10:00-19:00,10:00-19:00,通常営業,通常営業
7734,楽天モバイル 横須賀中央駅前店,238-0007,神奈川県,横須賀市,通常営業,通常営業,通常営業,休業,休業,通常営業,通常営業,通常営業,通常営業
7735,ベスト電器 佐賀本店,849-0919,佐賀県,佐賀市,通常営業,通常営業,通常営業,通常営業,09:00-18:00,09:30-18:30,09:30-18:30,通常営業,通常営業
